location_id,work_date,role,regular_hours,overtime_hours,wage_cost,currency,source_granularity
Commerce_01,2025-08-01,BOH,45.40,2.90,1044.75,CAD,daily_aggregate
Commerce_01,2025-08-01,FOH,62.40,3.98,1299.03,CAD,daily_aggregate
Commerce_02,2025-08-01,BOH,35.86,2.29,825.20,CAD,daily_aggregate
Commerce_02,2025-08-01,FOH,47.60,3.04,991.04,CAD,daily_aggregate
Commerce_03,2025-08-01,BOH,48.06,3.07,1105.96,CAD,daily_aggregate
Commerce_03,2025-08-01,FOH,62.74,4.00,1306.06,CAD,daily_aggregate
Commerce_01,2025-08-02,BOH,42.54,2.72,979.02,CAD,daily_aggregate
Commerce_01,2025-08-02,FOH,60.85,3.88,1266.73,CAD,daily_aggregate
Commerce_02,2025-08-02,BOH,35.56,2.27,818.26,CAD,daily_aggregate
Commerce_02,2025-08-02,FOH,47.73,3.05,993.80,CAD,daily_aggregate
Commerce_03,2025-08-02,BOH,49.16,3.14,1131.27,CAD,daily_aggregate
Commerce_03,2025-08-02,FOH,68.45,4.37,1425.10,CAD,daily_aggregate
Commerce_01,2025-08-03,BOH,26.87,1.71,618.14,CAD,daily_aggregate
Commerce_01,2025-08-03,FOH,34.67,2.21,721.72,CAD,daily_aggregate
Commerce_02,2025-08-03,BOH,18.84,1.20,433.44,CAD,daily_aggregate
Commerce_02,2025-08-03,FOH,26.79,1.71,557.74,CAD,daily_aggregate
Commerce_03,2025-08-03,BOH,27.97,1.79,643.76,CAD,daily_aggregate
Commerce_03,2025-08-03,FOH,39.83,2.54,829.16,CAD,daily_aggregate
Commerce_01,2025-08-04,BOH,32.03,0.00,672.63,CAD,daily_aggregate
Commerce_01,2025-08-04,FOH,42.34,0.00,804.46,CAD,daily_aggregate
Commerce_02,2025-08-04,BOH,23.31,0.00,489.51,CAD,daily_aggregate
Commerce_02,2025-08-04,FOH,32.37,0.00,615.03,CAD,daily_aggregate
Commerce_03,2025-08-04,BOH,36.68,0.00,770.28,CAD,daily_aggregate
Commerce_03,2025-08-04,FOH,49.00,0.00,931.00,CAD,daily_aggregate
Commerce_01,2025-08-05,BOH,30.76,0.00,645.96,CAD,daily_aggregate
Commerce_01,2025-08-05,FOH,41.09,0.00,780.71,CAD,daily_aggregate
Commerce_02,2025-08-05,BOH,25.19,0.00,528.99,CAD,daily_aggregate
Commerce_02,2025-08-05,FOH,32.78,0.00,622.82,CAD,daily_aggregate
Commerce_03,2025-08-05,BOH,34.36,0.00,721.56,CAD,daily_aggregate
Commerce_03,2025-08-05,FOH,46.30,0.00,879.70,CAD,daily_aggregate
Commerce_01,2025-08-06,BOH,34.35,0.00,721.35,CAD,daily_aggregate
Commerce_01,2025-08-06,FOH,46.58,0.00,885.02,CAD,daily_aggregate
Commerce_02,2025-08-06,BOH,28.95,0.00,607.95,CAD,daily_aggregate
Commerce_02,2025-08-06,FOH,40.01,0.00,760.19,CAD,daily_aggregate
Commerce_03,2025-08-06,BOH,36.51,0.00,766.71,CAD,daily_aggregate
Commerce_03,2025-08-06,FOH,50.98,0.00,968.62,CAD,daily_aggregate
Commerce_01,2025-08-07,BOH,39.47,0.00,828.87,CAD,daily_aggregate
Commerce_01,2025-08-07,FOH,53.30,0.00,1012.70,CAD,daily_aggregate
Commerce_02,2025-08-07,BOH,28.93,0.00,607.53,CAD,daily_aggregate
Commerce_02,2025-08-07,FOH,39.17,0.00,744.23,CAD,daily_aggregate
Commerce_03,2025-08-07,BOH,45.47,0.00,954.87,CAD,daily_aggregate
Commerce_03,2025-08-07,FOH,62.13,0.00,1180.47,CAD,daily_aggregate
Commerce_01,2025-08-08,BOH,47.41,3.03,1091.06,CAD,daily_aggregate
Commerce_01,2025-08-08,FOH,62.12,3.96,1293.14,CAD,daily_aggregate
Commerce_02,2025-08-08,BOH,32.70,2.09,752.54,CAD,daily_aggregate
Commerce_02,2025-08-08,FOH,43.59,2.78,907.44,CAD,daily_aggregate
Commerce_03,2025-08-08,BOH,48.51,3.10,1116.36,CAD,daily_aggregate
Commerce_03,2025-08-08,FOH,67.22,4.29,1399.44,CAD,daily_aggregate
Commerce_01,2025-08-09,BOH,46.49,2.97,1069.84,CAD,daily_aggregate
Commerce_01,2025-08-09,FOH,63.16,4.03,1314.90,CAD,daily_aggregate
Commerce_02,2025-08-09,BOH,38.19,2.44,878.85,CAD,daily_aggregate
Commerce_02,2025-08-09,FOH,49.03,3.13,1020.78,CAD,daily_aggregate
Commerce_03,2025-08-09,BOH,50.99,3.25,1173.16,CAD,daily_aggregate
Commerce_03,2025-08-09,FOH,70.42,4.50,1466.23,CAD,daily_aggregate
Commerce_01,2025-08-10,BOH,27.03,1.72,621.81,CAD,daily_aggregate
Commerce_01,2025-08-10,FOH,36.51,2.33,760.10,CAD,daily_aggregate
Commerce_02,2025-08-10,BOH,20.58,1.31,473.44,CAD,daily_aggregate
Commerce_02,2025-08-10,FOH,29.01,1.85,603.92,CAD,daily_aggregate
Commerce_03,2025-08-10,BOH,28.83,1.84,663.39,CAD,daily_aggregate
Commerce_03,2025-08-10,FOH,38.52,2.46,801.99,CAD,daily_aggregate
Commerce_01,2025-08-11,BOH,31.96,0.00,671.16,CAD,daily_aggregate
Commerce_01,2025-08-11,FOH,42.62,0.00,809.78,CAD,daily_aggregate
Commerce_02,2025-08-11,BOH,23.74,0.00,498.54,CAD,daily_aggregate
Commerce_02,2025-08-11,FOH,30.79,0.00,585.01,CAD,daily_aggregate
Commerce_03,2025-08-11,BOH,36.71,0.00,770.91,CAD,daily_aggregate
Commerce_03,2025-08-11,FOH,49.54,0.00,941.26,CAD,daily_aggregate
Commerce_01,2025-08-12,BOH,31.05,0.00,652.05,CAD,daily_aggregate
Commerce_01,2025-08-12,FOH,42.05,0.00,798.95,CAD,daily_aggregate
Commerce_02,2025-08-12,BOH,24.61,0.00,516.81,CAD,daily_aggregate
Commerce_02,2025-08-12,FOH,35.61,0.00,676.59,CAD,daily_aggregate
Commerce_03,2025-08-12,BOH,37.24,0.00,782.04,CAD,daily_aggregate
Commerce_03,2025-08-12,FOH,51.38,0.00,976.22,CAD,daily_aggregate
Commerce_01,2025-08-13,BOH,33.38,0.00,700.98,CAD,daily_aggregate
Commerce_01,2025-08-13,FOH,46.86,0.00,890.34,CAD,daily_aggregate
Commerce_02,2025-08-13,BOH,28.28,0.00,593.88,CAD,daily_aggregate
Commerce_02,2025-08-13,FOH,38.41,0.00,729.79,CAD,daily_aggregate
Commerce_03,2025-08-13,BOH,42.40,0.00,890.40,CAD,daily_aggregate
Commerce_03,2025-08-13,FOH,57.54,0.00,1093.26,CAD,daily_aggregate
Commerce_01,2025-08-14,BOH,38.24,0.00,803.04,CAD,daily_aggregate
Commerce_01,2025-08-14,FOH,48.89,0.00,928.91,CAD,daily_aggregate
Commerce_02,2025-08-14,BOH,30.51,0.00,640.71,CAD,daily_aggregate
Commerce_02,2025-08-14,FOH,41.46,0.00,787.74,CAD,daily_aggregate
Commerce_03,2025-08-14,BOH,45.28,0.00,950.88,CAD,daily_aggregate
Commerce_03,2025-08-14,FOH,61.54,0.00,1169.26,CAD,daily_aggregate
Commerce_01,2025-08-15,BOH,43.42,2.77,999.08,CAD,daily_aggregate
Commerce_01,2025-08-15,FOH,58.47,3.73,1217.24,CAD,daily_aggregate
Commerce_02,2025-08-15,BOH,33.90,2.16,779.94,CAD,daily_aggregate
Commerce_02,2025-08-15,FOH,43.39,2.77,903.36,CAD,daily_aggregate
Commerce_03,2025-08-15,BOH,49.73,3.17,1144.18,CAD,daily_aggregate
Commerce_03,2025-08-15,FOH,64.37,4.11,1340.17,CAD,daily_aggregate
Commerce_01,2025-08-16,BOH,44.42,2.83,1021.96,CAD,daily_aggregate
Commerce_01,2025-08-16,FOH,57.66,3.68,1200.42,CAD,daily_aggregate
Commerce_02,2025-08-16,BOH,35.36,2.26,813.75,CAD,daily_aggregate
Commerce_02,2025-08-16,FOH,47.86,3.06,996.55,CAD,daily_aggregate
Commerce_03,2025-08-16,BOH,52.20,3.33,1201.10,CAD,daily_aggregate
Commerce_03,2025-08-16,FOH,69.60,4.44,1448.94,CAD,daily_aggregate
Commerce_01,2025-08-17,BOH,26.10,1.67,600.70,CAD,daily_aggregate
Commerce_01,2025-08-17,FOH,36.11,2.30,751.64,CAD,daily_aggregate
Commerce_02,2025-08-17,BOH,19.02,1.21,437.54,CAD,daily_aggregate
Commerce_02,2025-08-17,FOH,26.56,1.70,553.09,CAD,daily_aggregate
Commerce_03,2025-08-17,BOH,28.19,1.80,648.69,CAD,daily_aggregate
Commerce_03,2025-08-17,FOH,38.31,2.45,797.72,CAD,daily_aggregate
Commerce_01,2025-08-18,BOH,29.64,0.00,622.44,CAD,daily_aggregate
Commerce_01,2025-08-18,FOH,40.91,0.00,777.29,CAD,daily_aggregate
Commerce_02,2025-08-18,BOH,24.01,0.00,504.21,CAD,daily_aggregate
Commerce_02,2025-08-18,FOH,32.63,0.00,619.97,CAD,daily_aggregate
Commerce_03,2025-08-18,BOH,32.31,0.00,678.51,CAD,daily_aggregate
Commerce_03,2025-08-18,FOH,44.93,0.00,853.67,CAD,daily_aggregate
Commerce_01,2025-08-19,BOH,32.73,0.00,687.33,CAD,daily_aggregate
Commerce_01,2025-08-19,FOH,42.64,0.00,810.16,CAD,daily_aggregate
Commerce_02,2025-08-19,BOH,23.71,0.00,497.91,CAD,daily_aggregate
Commerce_02,2025-08-19,FOH,32.90,0.00,625.10,CAD,daily_aggregate
Commerce_03,2025-08-19,BOH,38.18,0.00,801.78,CAD,daily_aggregate
Commerce_03,2025-08-19,FOH,48.96,0.00,930.24,CAD,daily_aggregate
Commerce_01,2025-08-20,BOH,36.23,0.00,760.83,CAD,daily_aggregate
Commerce_01,2025-08-20,FOH,46.25,0.00,878.75,CAD,daily_aggregate
Commerce_02,2025-08-20,BOH,27.44,0.00,576.24,CAD,daily_aggregate
Commerce_02,2025-08-20,FOH,35.67,0.00,677.73,CAD,daily_aggregate
Commerce_03,2025-08-20,BOH,40.59,0.00,852.39,CAD,daily_aggregate
Commerce_03,2025-08-20,FOH,56.05,0.00,1064.95,CAD,daily_aggregate
Commerce_01,2025-08-21,BOH,41.42,0.00,869.82,CAD,daily_aggregate
Commerce_01,2025-08-21,FOH,53.00,0.00,1007.00,CAD,daily_aggregate
Commerce_02,2025-08-21,BOH,30.97,0.00,650.37,CAD,daily_aggregate
Commerce_02,2025-08-21,FOH,39.90,0.00,758.10,CAD,daily_aggregate
Commerce_03,2025-08-21,BOH,45.16,0.00,948.36,CAD,daily_aggregate
Commerce_03,2025-08-21,FOH,63.61,0.00,1208.59,CAD,daily_aggregate
Commerce_01,2025-08-22,BOH,44.68,2.85,1028.06,CAD,daily_aggregate
Commerce_01,2025-08-22,FOH,59.90,3.82,1246.97,CAD,daily_aggregate
Commerce_02,2025-08-22,BOH,34.74,2.22,799.47,CAD,daily_aggregate
Commerce_02,2025-08-22,FOH,48.02,3.07,999.88,CAD,daily_aggregate
Commerce_03,2025-08-22,BOH,52.31,3.34,1203.72,CAD,daily_aggregate
Commerce_03,2025-08-22,FOH,67.90,4.33,1413.50,CAD,daily_aggregate
Commerce_01,2025-08-23,BOH,46.00,2.94,1058.61,CAD,daily_aggregate
Commerce_01,2025-08-23,FOH,62.72,4.00,1305.68,CAD,daily_aggregate
Commerce_02,2025-08-23,BOH,34.04,2.17,783.20,CAD,daily_aggregate
Commerce_02,2025-08-23,FOH,45.84,2.93,954.46,CAD,daily_aggregate
Commerce_03,2025-08-23,BOH,52.07,3.32,1198.05,CAD,daily_aggregate
Commerce_03,2025-08-23,FOH,65.56,4.18,1364.77,CAD,daily_aggregate
Commerce_01,2025-08-24,BOH,23.68,1.51,544.84,CAD,daily_aggregate
Commerce_01,2025-08-24,FOH,32.91,2.10,685.14,CAD,daily_aggregate
Commerce_02,2025-08-24,BOH,19.52,1.25,449.30,CAD,daily_aggregate
Commerce_02,2025-08-24,FOH,27.87,1.78,580.26,CAD,daily_aggregate
Commerce_03,2025-08-24,BOH,28.28,1.80,650.58,CAD,daily_aggregate
Commerce_03,2025-08-24,FOH,37.21,2.37,774.54,CAD,daily_aggregate
Commerce_01,2025-08-25,BOH,32.29,0.00,678.09,CAD,daily_aggregate
Commerce_01,2025-08-25,FOH,41.99,0.00,797.81,CAD,daily_aggregate
Commerce_02,2025-08-25,BOH,23.87,0.00,501.27,CAD,daily_aggregate
Commerce_02,2025-08-25,FOH,33.95,0.00,645.05,CAD,daily_aggregate
Commerce_03,2025-08-25,BOH,35.28,0.00,740.88,CAD,daily_aggregate
Commerce_03,2025-08-25,FOH,49.20,0.00,934.80,CAD,daily_aggregate
Commerce_01,2025-08-26,BOH,32.18,0.00,675.78,CAD,daily_aggregate
Commerce_01,2025-08-26,FOH,44.46,0.00,844.74,CAD,daily_aggregate
Commerce_02,2025-08-26,BOH,23.83,0.00,500.43,CAD,daily_aggregate
Commerce_02,2025-08-26,FOH,34.15,0.00,648.85,CAD,daily_aggregate
Commerce_03,2025-08-26,BOH,38.64,0.00,811.44,CAD,daily_aggregate
Commerce_03,2025-08-26,FOH,50.19,0.00,953.61,CAD,daily_aggregate
Commerce_01,2025-08-27,BOH,32.55,0.00,683.55,CAD,daily_aggregate
Commerce_01,2025-08-27,FOH,47.35,0.00,899.65,CAD,daily_aggregate
Commerce_02,2025-08-27,BOH,26.16,0.00,549.36,CAD,daily_aggregate
Commerce_02,2025-08-27,FOH,36.30,0.00,689.70,CAD,daily_aggregate
Commerce_03,2025-08-27,BOH,38.52,0.00,808.92,CAD,daily_aggregate
Commerce_03,2025-08-27,FOH,51.53,0.00,979.07,CAD,daily_aggregate
Commerce_01,2025-08-28,BOH,36.85,0.00,773.85,CAD,daily_aggregate
Commerce_01,2025-08-28,FOH,52.03,0.00,988.57,CAD,daily_aggregate
Commerce_02,2025-08-28,BOH,30.64,0.00,643.44,CAD,daily_aggregate
Commerce_02,2025-08-28,FOH,43.45,0.00,825.55,CAD,daily_aggregate
Commerce_03,2025-08-28,BOH,44.17,0.00,927.57,CAD,daily_aggregate
Commerce_03,2025-08-28,FOH,58.55,0.00,1112.45,CAD,daily_aggregate
Commerce_01,2025-08-29,BOH,43.42,2.77,999.08,CAD,daily_aggregate
Commerce_01,2025-08-29,FOH,56.86,3.63,1183.80,CAD,daily_aggregate
Commerce_02,2025-08-29,BOH,33.68,2.15,775.00,CAD,daily_aggregate
Commerce_02,2025-08-29,FOH,47.41,3.03,987.14,CAD,daily_aggregate
Commerce_03,2025-08-29,BOH,49.55,3.16,1140.09,CAD,daily_aggregate
Commerce_03,2025-08-29,FOH,69.24,4.42,1441.53,CAD,daily_aggregate
Commerce_01,2025-08-30,BOH,47.26,3.02,1087.59,CAD,daily_aggregate
Commerce_01,2025-08-30,FOH,63.06,4.02,1312.71,CAD,daily_aggregate
Commerce_02,2025-08-30,BOH,37.06,2.37,852.92,CAD,daily_aggregate
Commerce_02,2025-08-30,FOH,52.05,3.32,1083.57,CAD,daily_aggregate
Commerce_03,2025-08-30,BOH,51.00,3.25,1173.38,CAD,daily_aggregate
Commerce_03,2025-08-30,FOH,67.71,4.32,1409.61,CAD,daily_aggregate
Commerce_01,2025-08-31,BOH,25.46,1.62,585.69,CAD,daily_aggregate
Commerce_01,2025-08-31,FOH,36.73,2.34,764.56,CAD,daily_aggregate
Commerce_02,2025-08-31,BOH,19.65,1.25,452.02,CAD,daily_aggregate
Commerce_02,2025-08-31,FOH,26.58,1.70,553.47,CAD,daily_aggregate
Commerce_03,2025-08-31,BOH,28.41,1.81,653.62,CAD,daily_aggregate
