report_period_start,report_period_end,business_date,commerce_id,source_pos,gross_sales,discounts,voids,net_sales,transactions,generated_at,revision_id
2025-04-01,2025-06-30,2025-04-01,Commerce_01,POS_A,4755.00,242.83,31.40,4512.17,133,2025-07-06T11:48:00Z,rev-b45c
2025-04-01,2025-06-30,2025-04-02,Commerce_01,POS_A,5384.00,269.93,63.92,5114.07,150,2025-07-06T11:48:00Z,rev-b45c
2025-04-01,2025-06-30,2025-04-03,Commerce_01,POS_A,5861.00,302.20,29.65,5558.80,163,2025-07-06T11:48:00Z,rev-b45c
2025-04-01,2025-06-30,2025-04-04,Commerce_01,POS_A,6847.00,371.60,40.10,6475.40,190,2025-07-06T11:48:00Z,rev-b45c
2025-04-01,2025-06-30,2025-04-05,Commerce_01,POS_A,7134.00,374.69,96.56,6759.31,199,2025-07-06T11:48:00Z,rev-b45c
2025-04-01,2025-06-30,2025-04-06,Commerce_01,POS_A,4345.00,217.35,45.50,4127.65,121,2025-07-06T11:48:00Z,rev-b45c
2025-04-01,2025-06-30,2025-04-07,Commerce_01,POS_A,4693.00,238.50,56.39,4454.50,131,2025-07-06T11:48:00Z,rev-b45c
2025-04-01,2025-06-30,2025-04-08,Commerce_01,POS_A,4837.00,273.58,85.45,4563.42,134,2025-07-06T11:48:00Z,rev-b45c
2025-04-01,2025-06-30,2025-04-09,Commerce_01,POS_A,5381.00,261.28,36.49,5119.72,151,2025-07-06T11:48:00Z,rev-b45c
2025-04-01,2025-06-30,2025-04-10,Commerce_01,POS_A,5810.00,299.12,29.49,5510.88,162,2025-07-06T11:48:00Z,rev-b45c
2025-04-01,2025-06-30,2025-04-11,Commerce_01,POS_A,7028.00,350.78,36.63,6677.22,196,2025-07-06T11:48:00Z,rev-b45c
2025-04-01,2025-06-30,2025-04-12,Commerce_01,POS_A,7714.00,398.48,75.25,7315.52,215,2025-07-06T11:48:00Z,rev-b45c
2025-04-01,2025-06-30,2025-04-13,Commerce_01,POS_A,4240.00,221.56,34.55,4018.44,118,2025-07-06T11:48:00Z,rev-b45c
2025-04-01,2025-06-30,2025-04-14,Commerce_01,POS_A,4662.00,241.05,83.57,4420.95,130,2025-07-06T11:48:00Z,rev-b45c
2025-04-01,2025-06-30,2025-04-15,Commerce_01,POS_A,4892.00,237.14,18.54,4654.86,137,2025-07-06T11:48:00Z,rev-b45c
2025-04-01,2025-06-30,2025-04-16,Commerce_01,POS_A,5359.00,265.48,80.25,5093.52,150,2025-07-06T11:48:00Z,rev-b45c
2025-04-01,2025-06-30,2025-04-17,Commerce_01,POS_A,5921.00,287.71,62.04,5633.29,166,2025-07-06T11:48:00Z,rev-b45c
2025-04-01,2025-06-30,2025-04-18,Commerce_01,POS_A,6977.00,333.94,60.05,6643.06,195,2025-07-06T11:48:00Z,rev-b45c
2025-04-01,2025-06-30,2025-04-19,Commerce_01,POS_A,7519.00,373.04,43.93,7145.96,210,2025-07-06T11:48:00Z,rev-b45c
2025-04-01,2025-06-30,2025-04-20,Commerce_01,POS_A,4074.00,198.01,96.04,3875.99,114,2025-07-06T11:48:00Z,rev-b45c
2025-04-01,2025-06-30,2025-04-21,Commerce_01,POS_A,4733.00,237.10,46.73,4495.90,132,2025-07-06T11:48:00Z,rev-b45c
2025-04-01,2025-06-30,2025-04-22,Commerce_01,POS_A,4999.00,242.74,60.39,4756.26,140,2025-07-06T11:48:00Z,rev-b45c
2025-04-01,2025-06-30,2025-04-23,Commerce_01,POS_A,5487.00,285.68,50.38,5201.32,153,2025-07-06T11:48:00Z,rev-b45c
2025-04-01,2025-06-30,2025-04-24,Commerce_01,POS_A,5915.00,302.01,50.52,5612.99,165,2025-07-06T11:48:00Z,rev-b45c
2025-04-01,2025-06-30,2025-04-25,Commerce_01,POS_A,7245.00,359.47,57.36,6885.53,203,2025-07-06T11:48:00Z,rev-b45c
2025-04-01,2025-06-30,2025-04-26,Commerce_01,POS_A,7533.00,364.23,45.95,7168.77,211,2025-07-06T11:48:00Z,rev-b45c
2025-04-01,2025-06-30,2025-04-27,Commerce_01,POS_A,4196.00,196.23,103.35,3999.77,118,2025-07-06T11:48:00Z,rev-b45c
2025-04-01,2025-06-30,2025-04-28,Commerce_01,POS_A,4663.00,224.12,41.62,4438.88,131,2025-07-06T11:48:00Z,rev-b45c
2025-04-01,2025-06-30,2025-04-29,Commerce_01,POS_A,4892.00,245.52,48.14,4646.48,137,2025-07-06T11:48:00Z,rev-b45c
2025-04-01,2025-06-30,2025-04-30,Commerce_01,POS_A,5495.00,276.07,85.49,5218.93,153,2025-07-06T11:48:00Z,rev-b45c
2025-04-01,2025-06-30,2025-05-01,Commerce_01,POS_A,6073.00,306.90,96.36,5766.10,170,2025-07-06T11:48:00Z,rev-b45c
2025-04-01,2025-06-30,2025-05-02,Commerce_01,POS_A,7245.00,378.54,52.82,6866.46,202,2025-07-06T11:48:00Z,rev-b45c
2025-04-01,2025-06-30,2025-05-03,Commerce_01,POS_A,7524.00,378.21,59.25,7145.79,210,2025-07-06T11:48:00Z,rev-b45c
2025-04-01,2025-06-30,2025-05-04,Commerce_01,POS_A,4073.00,203.51,92.06,3869.49,114,2025-07-06T11:48:00Z,rev-b45c
