report_period_start,report_period_end,business_date,commerce_id,source_pos,gross_sales,discounts,voids,net_sales,transactions,generated_at,revision_id
2025-04-01,2025-06-30,2025-04-01,Commerce_01,POS_A,4755.00,242.83,31.40,4602.41,133,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-04-02,Commerce_01,POS_A,5384.00,269.93,63.92,5216.35,150,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-04-03,Commerce_01,POS_A,5861.00,302.20,29.65,5669.98,163,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-04-04,Commerce_01,POS_A,6847.00,371.60,40.10,6604.91,190,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-04-05,Commerce_01,POS_A,7134.00,374.69,96.56,6894.50,199,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-04-06,Commerce_01,POS_A,4345.00,217.35,45.50,4210.20,121,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-04-07,Commerce_01,POS_A,4693.00,238.50,56.39,4543.59,131,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-04-08,Commerce_01,POS_A,4837.00,273.58,85.45,4654.69,134,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-04-09,Commerce_01,POS_A,5381.00,261.28,36.49,5222.11,151,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-04-10,Commerce_01,POS_A,5810.00,299.12,29.49,5621.10,162,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-04-11,Commerce_01,POS_A,7028.00,350.78,36.63,6810.76,196,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-04-12,Commerce_01,POS_A,7714.00,398.48,75.25,7461.83,215,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-04-13,Commerce_01,POS_A,4240.00,221.56,34.55,4098.81,118,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-04-14,Commerce_01,POS_A,4662.00,241.05,83.57,4509.37,130,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-04-15,Commerce_01,POS_A,4892.00,237.14,18.54,4747.96,137,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-04-16,Commerce_01,POS_A,5359.00,265.48,80.25,5195.39,150,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-04-17,Commerce_01,POS_A,5921.00,287.71,62.04,5745.96,166,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-04-18,Commerce_01,POS_A,6977.00,333.94,60.05,6775.92,195,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-04-19,Commerce_01,POS_A,7519.00,373.04,43.93,7288.88,210,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-04-20,Commerce_01,POS_A,4074.00,198.01,96.04,3953.51,114,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-04-21,Commerce_01,POS_A,4733.00,237.10,46.73,4585.82,132,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-04-22,Commerce_01,POS_A,4999.00,242.74,60.39,4851.39,140,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-04-23,Commerce_01,POS_A,5487.00,285.68,50.38,5305.35,153,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-04-24,Commerce_01,POS_A,5915.00,302.01,50.52,5725.25,165,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-04-25,Commerce_01,POS_A,7245.00,359.47,57.36,7023.24,203,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-04-26,Commerce_01,POS_A,7533.00,364.23,45.95,7312.15,211,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-04-27,Commerce_01,POS_A,4196.00,196.23,103.35,4079.77,118,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-04-28,Commerce_01,POS_A,4663.00,224.12,41.62,4527.66,131,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-04-29,Commerce_01,POS_A,4892.00,245.52,48.14,4739.41,137,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-04-30,Commerce_01,POS_A,5495.00,276.07,85.49,5323.31,153,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-05-01,Commerce_01,POS_A,6073.00,306.90,96.36,5881.42,170,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-05-02,Commerce_01,POS_A,7245.00,378.54,52.82,7003.79,202,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-05-03,Commerce_01,POS_A,7524.00,378.21,59.25,7288.71,210,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-05-04,Commerce_01,POS_A,4073.00,203.51,92.06,3946.88,114,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-05-05,Commerce_01,POS_A,6505.00,316.34,18.07,6312.43,182,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-05-06,Commerce_01,POS_A,6959.00,342.00,104.76,6749.34,195,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-05-07,Commerce_01,POS_A,7488.00,377.38,72.32,7252.83,209,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-05-08,Commerce_01,POS_A,8522.00,400.64,47.67,8283.79,239,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-05-09,Commerce_01,POS_A,10005.00,474.88,67.22,9720.72,280,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-05-10,Commerce_01,POS_A,10594.00,532.57,62.31,10262.66,296,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-05-11,Commerce_01,POS_A,5966.00,289.08,62.62,5790.46,167,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-05-12,Commerce_01,POS_A,6417.00,326.77,55.93,6212.03,179,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-05-13,Commerce_01,POS_A,6917.00,345.58,39.16,6702.85,193,2025-07-08T08:30:00Z,rev-19de
2025-04-01,2025-06-30,2025-05-14,Commerce_01,POS_A,7541.00,384.98,85.96,7299.14,210,2025-07-08T08:30:00Z,rev-19de
