report_period_start,report_period_end,business_date,commerce_id,source_pos,gross_sales,discounts,voids,net_sales,transactions,generated_at,revision_id
2025-04-01,2025-06-30,2025-04-01,Commerce_01,POS_A,4755.00,242.83,31.40,4543.57,133,2025-07-05T09:14:00Z,rev-8f21
2025-04-01,2025-06-30,2025-04-02,Commerce_01,POS_A,5384.00,269.93,63.92,5177.99,150,2025-07-05T09:14:00Z,rev-8f21
2025-04-01,2025-06-30,2025-04-03,Commerce_01,POS_A,5861.00,302.20,29.65,5588.45,163,2025-07-05T09:14:00Z,rev-8f21
2025-04-01,2025-06-30,2025-04-04,Commerce_01,POS_A,6847.00,371.60,40.10,6515.50,190,2025-07-05T09:14:00Z,rev-8f21
2025-04-01,2025-06-30,2025-04-05,Commerce_01,POS_A,7134.00,374.69,96.56,6855.87,199,2025-07-05T09:14:00Z,rev-8f21
2025-04-01,2025-06-30,2025-04-06,Commerce_01,POS_A,4345.00,217.35,45.50,4173.15,121,2025-07-05T09:14:00Z,rev-8f21
2025-04-01,2025-06-30,2025-04-07,Commerce_01,POS_A,4693.00,238.50,56.39,4510.89,131,2025-07-05T09:14:00Z,rev-8f21
2025-04-01,2025-06-30,2025-04-08,Commerce_01,POS_A,4837.00,273.58,85.45,4648.87,134,2025-07-05T09:14:00Z,rev-8f21
2025-04-01,2025-06-30,2025-04-09,Commerce_01,POS_A,5381.00,261.28,36.49,5156.21,151,2025-07-05T09:14:00Z,rev-8f21
2025-04-01,2025-06-30,2025-04-10,Commerce_01,POS_A,5810.00,299.12,29.49,5540.37,162,2025-07-05T09:14:00Z,rev-8f21
2025-04-01,2025-06-30,2025-04-11,Commerce_01,POS_A,7028.00,350.78,36.63,6713.85,196,2025-07-05T09:14:00Z,rev-8f21
2025-04-01,2025-06-30,2025-04-12,Commerce_01,POS_A,7714.00,398.48,75.25,7390.77,215,2025-07-05T09:14:00Z,rev-8f21
2025-04-01,2025-06-30,2025-04-13,Commerce_01,POS_A,4240.00,221.56,34.55,4052.99,118,2025-07-05T09:14:00Z,rev-8f21
2025-04-01,2025-06-30,2025-04-14,Commerce_01,POS_A,4662.00,241.05,83.57,4504.52,130,2025-07-05T09:14:00Z,rev-8f21
2025-04-01,2025-06-30,2025-04-15,Commerce_01,POS_A,4892.00,237.14,18.54,4673.40,137,2025-07-05T09:14:00Z,rev-8f21
2025-04-01,2025-06-30,2025-04-16,Commerce_01,POS_A,5359.00,265.48,80.25,5173.77,150,2025-07-05T09:14:00Z,rev-8f21
2025-04-01,2025-06-30,2025-04-17,Commerce_01,POS_A,5921.00,287.71,62.04,5695.33,166,2025-07-05T09:14:00Z,rev-8f21
2025-04-01,2025-06-30,2025-04-18,Commerce_01,POS_A,6977.00,333.94,60.05,6703.11,195,2025-07-05T09:14:00Z,rev-8f21
2025-04-01,2025-06-30,2025-04-19,Commerce_01,POS_A,7519.00,373.04,43.93,7189.89,210,2025-07-05T09:14:00Z,rev-8f21
2025-04-01,2025-06-30,2025-04-20,Commerce_01,POS_A,4074.00,198.01,96.04,3972.03,114,2025-07-05T09:14:00Z,rev-8f21
2025-04-01,2025-06-30,2025-04-21,Commerce_01,POS_A,4733.00,237.10,46.73,4542.63,132,2025-07-05T09:14:00Z,rev-8f21
2025-04-01,2025-06-30,2025-04-22,Commerce_01,POS_A,4999.00,242.74,60.39,4816.65,140,2025-07-05T09:14:00Z,rev-8f21
2025-04-01,2025-06-30,2025-04-23,Commerce_01,POS_A,5487.00,285.68,50.38,5251.70,153,2025-07-05T09:14:00Z,rev-8f21
