report_period_start,report_period_end,business_date,commerce_id,source_pos,gross_sales,discounts,voids,net_sales,transactions,generated_at,revision_id
2025-07-01,2025-09-30,2025-07-01,Commerce_03,POS_B,6095.00,285.77,52.38,5809.23,171,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-07-02,Commerce_03,POS_B,6791.00,352.81,68.66,6438.19,189,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-07-03,Commerce_03,POS_B,7524.00,366.77,77.67,7157.23,211,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-07-04,Commerce_03,POS_B,8446.00,426.78,32.98,8019.22,236,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-07-05,Commerce_03,POS_B,9664.00,466.80,86.33,9197.20,271,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-07-06,Commerce_03,POS_B,4846.00,238.07,61.52,4607.93,136,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-07-07,Commerce_03,POS_B,5622.00,294.81,84.23,5327.19,157,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-07-08,Commerce_03,POS_B,6205.00,314.08,101.07,5890.92,173,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-07-09,Commerce_03,POS_B,6486.00,321.03,79.17,6164.97,181,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-07-10,Commerce_03,POS_B,7517.00,375.86,46.50,7141.14,210,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-07-11,Commerce_03,POS_B,9130.00,454.49,45.08,8675.51,255,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-07-12,Commerce_03,POS_B,9432.00,495.02,36.81,8936.98,263,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-07-13,Commerce_03,POS_B,5376.00,286.40,73.85,5089.60,150,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-07-14,Commerce_03,POS_B,5628.00,300.00,64.44,5328.00,157,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-07-15,Commerce_03,POS_B,6198.00,315.50,78.83,5882.50,173,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-07-16,Commerce_03,POS_B,6843.00,360.48,47.38,6482.52,191,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-07-17,Commerce_03,POS_B,7643.00,372.30,66.52,7270.70,214,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-07-18,Commerce_03,POS_B,8267.00,427.79,66.96,7839.21,231,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-07-19,Commerce_03,POS_B,9359.00,464.06,26.08,8894.94,262,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-07-20,Commerce_03,POS_B,5149.00,243.91,26.78,4905.09,144,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-07-21,Commerce_03,POS_B,6026.00,299.89,75.67,5726.11,168,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-07-22,Commerce_03,POS_B,6040.00,314.16,75.25,5725.84,168,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-07-23,Commerce_03,POS_B,6880.00,360.17,106.00,6519.83,192,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-07-24,Commerce_03,POS_B,7244.00,360.70,46.04,6883.30,202,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-07-25,Commerce_03,POS_B,8439.00,425.29,48.31,8013.71,236,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-07-26,Commerce_03,POS_B,9123.00,435.24,22.34,8687.76,256,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-07-27,Commerce_03,POS_B,5284.00,253.51,37.28,5030.49,148,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-07-28,Commerce_03,POS_B,5999.00,295.99,38.75,5703.01,168,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-07-29,Commerce_03,POS_B,5886.00,300.27,57.46,5585.73,164,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-07-30,Commerce_03,POS_B,6435.00,337.88,43.57,6097.12,179,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-07-31,Commerce_03,POS_B,7401.00,378.32,67.40,7022.68,207,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-08-01,Commerce_03,POS_B,8264.00,389.25,41.85,7874.75,232,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-08-02,Commerce_03,POS_B,8854.00,440.74,54.92,8413.26,247,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-08-03,Commerce_03,POS_B,4963.00,262.52,46.96,4700.48,138,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-08-04,Commerce_03,POS_B,5950.00,299.15,48.07,5650.85,166,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-08-05,Commerce_03,POS_B,5764.00,253.17,42.67,5510.83,162,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-08-06,Commerce_03,POS_B,6212.00,300.12,89.39,5911.88,174,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-08-07,Commerce_03,POS_B,7624.00,381.03,68.62,7242.97,213,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-08-08,Commerce_03,POS_B,8367.00,431.82,70.91,7935.18,233,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-08-09,Commerce_03,POS_B,9105.00,444.28,83.70,8660.72,255,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-08-10,Commerce_03,POS_B,5129.00,264.44,40.79,4864.56,143,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-08-11,Commerce_03,POS_B,5913.00,280.32,93.52,5632.68,166,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-08-12,Commerce_03,POS_B,6092.00,317.10,54.66,5774.90,170,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-08-13,Commerce_03,POS_B,6797.00,337.86,35.67,6459.14,190,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-08-14,Commerce_03,POS_B,7357.00,356.77,47.65,7000.23,206,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-08-15,Commerce_03,POS_B,8637.00,426.37,43.80,8210.63,241,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-08-16,Commerce_03,POS_B,8806.00,451.83,34.77,8354.17,246,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-08-17,Commerce_03,POS_B,5073.00,245.17,63.73,4827.83,142,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-08-18,Commerce_03,POS_B,5438.00,255.53,76.85,5182.47,152,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-08-19,Commerce_03,POS_B,6125.00,326.31,40.64,5798.69,171,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-08-20,Commerce_03,POS_B,6779.00,356.78,80.98,6422.22,189,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-08-21,Commerce_03,POS_B,7444.00,362.73,64.59,7081.27,208,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-08-22,Commerce_03,POS_B,9064.00,446.97,36.01,8617.03,253,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-08-23,Commerce_03,POS_B,8798.00,439.88,50.56,8358.12,246,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-08-24,Commerce_03,POS_B,4760.00,232.82,58.60,4527.18,133,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-08-25,Commerce_03,POS_B,5751.00,302.37,40.84,5448.63,160,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-08-26,Commerce_03,POS_B,6201.00,294.71,84.50,5906.29,174,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-08-27,Commerce_03,POS_B,6248.00,319.38,64.59,5928.62,174,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-08-28,Commerce_03,POS_B,7258.00,373.61,24.02,6884.39,202,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-08-29,Commerce_03,POS_B,8889.00,424.10,46.35,8464.90,249,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-08-30,Commerce_03,POS_B,8768.00,425.01,50.51,8342.99,245,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-08-31,Commerce_03,POS_B,4949.00,223.62,69.82,4725.38,139,2025-10-06T14:05:00Z,rev-2b9a
2025-07-01,2025-09-30,2025-09-01,Commerce_03,POS_B,5557.00,284.37,53.66,5272.63,155,2025-10-06T14:05:00Z,rev-2b9a
