report_year,business_date,commerce_id,source_pos,gross_sales,discounts,voids,net_sales,transactions,generated_at
2025,2025-01-01,Commerce_01,POS_A,5133.00,256.42,57.03,4876.58,143,2026-01-09T08:45:00Z
2025,2025-01-02,Commerce_01,POS_A,5861.00,288.17,53.85,5572.83,164,2026-01-09T08:45:00Z
2025,2025-01-03,Commerce_01,POS_A,6970.00,331.70,36.82,6638.30,195,2026-01-09T08:45:00Z
2025,2025-01-04,Commerce_01,POS_A,6931.00,340.75,51.32,6590.25,194,2026-01-09T08:45:00Z
2025,2025-01-05,Commerce_01,POS_A,4042.00,196.64,102.84,3845.36,113,2026-01-09T08:45:00Z
2025,2025-01-06,Commerce_01,POS_A,4432.00,228.86,92.00,4203.14,124,2026-01-09T08:45:00Z
2025,2025-01-07,Commerce_01,POS_A,4730.00,229.68,22.75,4500.32,132,2026-01-09T08:45:00Z
2025,2025-01-08,Commerce_01,POS_A,4737.00,248.59,31.09,4488.41,132,2026-01-09T08:45:00Z
2025,2025-01-09,Commerce_01,POS_A,5190.00,224.98,49.20,4965.02,146,2026-01-09T08:45:00Z
2025,2025-01-10,Commerce_01,POS_A,6434.00,322.86,47.00,6111.14,180,2026-01-09T08:45:00Z
2025,2025-01-11,Commerce_01,POS_A,6866.00,354.41,84.42,6511.59,192,2026-01-09T08:45:00Z
2025,2025-01-12,Commerce_01,POS_A,3957.00,220.24,29.98,3736.76,110,2026-01-09T08:45:00Z
2025,2025-01-13,Commerce_01,POS_A,4365.00,211.76,52.67,4153.24,122,2026-01-09T08:45:00Z
2025,2025-01-14,Commerce_01,POS_A,4675.00,222.68,67.95,4452.32,131,2026-01-09T08:45:00Z
2025,2025-01-15,Commerce_01,POS_A,5086.00,252.80,64.44,4833.20,142,2026-01-09T08:45:00Z
2025,2025-01-16,Commerce_01,POS_A,5464.00,274.63,94.06,5189.37,153,2026-01-09T08:45:00Z
2025,2025-01-17,Commerce_01,POS_A,6304.00,287.82,64.33,6016.18,177,2026-01-09T08:45:00Z
2025,2025-01-18,Commerce_01,POS_A,7038.00,362.91,33.65,6675.09,196,2026-01-09T08:45:00Z
2025,2025-01-19,Commerce_01,POS_A,3899.00,204.75,98.89,3694.25,109,2026-01-09T08:45:00Z
2025,2025-01-20,Commerce_01,POS_A,4297.00,209.42,41.49,4087.58,120,2026-01-09T08:45:00Z
2025,2025-01-21,Commerce_01,POS_A,4451.00,215.36,83.44,4235.64,125,2026-01-09T08:45:00Z
2025,2025-01-22,Commerce_01,POS_A,5300.00,282.95,60.45,5017.05,148,2026-01-09T08:45:00Z
2025,2025-01-23,Commerce_01,POS_A,5358.00,273.93,54.30,5084.07,150,2026-01-09T08:45:00Z
2025,2025-01-24,Commerce_01,POS_A,6739.00,320.01,77.44,6418.99,189,2026-01-09T08:45:00Z
2025,2025-01-25,Commerce_01,POS_A,6942.00,354.54,49.95,6587.46,194,2026-01-09T08:45:00Z
2025,2025-01-26,Commerce_01,POS_A,4062.00,219.52,69.39,3842.48,113,2026-01-09T08:45:00Z
2025,2025-01-27,Commerce_01,POS_A,4355.00,207.83,50.86,4147.17,122,2026-01-09T08:45:00Z
2025,2025-01-28,Commerce_01,POS_A,4432.00,217.36,40.89,4214.64,124,2026-01-09T08:45:00Z
2025,2025-01-29,Commerce_01,POS_A,5076.00,258.91,77.76,4817.09,142,2026-01-09T08:45:00Z
2025,2025-01-30,Commerce_01,POS_A,5345.00,232.73,67.49,5112.27,150,2026-01-09T08:45:00Z
2025,2025-01-31,Commerce_01,POS_A,6742.00,354.67,44.30,6387.33,188,2026-01-09T08:45:00Z
2025,2025-02-01,Commerce_01,POS_A,7539.00,359.57,58.73,7179.43,211,2026-01-09T08:45:00Z
2025,2025-02-02,Commerce_01,POS_A,3988.00,193.97,94.82,3794.03,112,2026-01-09T08:45:00Z
2025,2025-02-03,Commerce_01,POS_A,4198.00,217.31,62.04,3980.69,117,2026-01-09T08:45:00Z
2025,2025-02-04,Commerce_01,POS_A,4883.00,245.67,66.15,4637.33,136,2026-01-09T08:45:00Z
